DateTime,Consumption,Production,Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
21/11/2019,175880,197983,32450,56026,38788,32496,35888,871,1451
22/11/2019,183855,200989,33327,50559,41537,36539,37114,421,1479
23/11/2019,172627,174377,34194,29420,40163,31447,36758,957,1419
24/11/2019,157102,162425,34223,23910,36748,28289,36491,1328,1412
25/11/2019,180265,190778,33796,35424,44313,37208,37163,1379,1466
26/11/2019,183259,184079,34124,27264,42485,39373,38228,1058,1508
27/11/2019,182417,167030,33924,7757,41117,41228,40054,1408,1506
28/11/2019,182181,167743,33809,10041,41567,38979,40791,1011,1528
29/11/2019,180994,183128,33996,22536,43614,39818,40558,1115,1477
30/11/2019,161720,162993,34284,20040,34578,36894,35204,565,1415
01/12/2019,154065,166941,34257,22872,37662,33835,35071,1995,1223
02/12/2019,184227,183895,34238,27055,41945,40044,37721,1593,1279
03/12/2019,188314,177708,33770,14234,47714,41163,38664,765,1352
04/12/2019,189493,170340,33872,10104,42608,42410,37701,2268,1365
05/12/2019,191425,172608,33768,14099,38678,43343,38647,2679,1370
06/12/2019,190673,183488,33663,22464,40182,44771,39253,1811,1331
07/12/2019,182111,171148,34278,11207,39639,45199,38688,944,1173
08/12/2019,164556,156362,34280,8434,30976,40513,39495,1397,1254
09/12/2019,187396,178146,33925,24402,33778,40536,41775,2333,1388
10/12/2019,190358,178609,33920,17910,35807,41610,45585,2390,1375
11/12/2019,192053,186924,34147,20378,39142,43487,47759,529,1449
12/12/2019,191948,199603,33775,32970,38334,44075,48351,610,1457
13/12/2019,190333,185646,34037,24130,34856,43401,47239,492,1459
14/12/2019,172882,164222,34291,22212,29846,38972,36525,1045,1314
15/12/2019,158256,161318,34273,24631,28437,34311,35487,2793,1369
16/12/2019,180473,165392,33885,16181,34272,38819,38383,2400,1420
17/12/2019,181494,161345,34079,11099,33636,40795,37573,2654,1472
18/12/2019,181349,168926,33927,32393,31404,36046,30928,2720,1463
19/12/2019,180666,156701,33779,7902,33703,39596,37905,2288,1500
20/12/2019,179489,158190,34174,18258,33044,32877,37554,902,1364
21/12/2019,168560,146371,34302,21636,28014,24471,35901,805,1237
22/12/2019,153722,156680,34323,35777,26136,23804,33827,1613,1186
23/12/2019,166028,158862,33919,40132,26994,23999,31724,748,1337
24/12/2019,158446,143612,33771,23364,31879,23168,29615,549,1263
25/12/2019,136226,139797,34051,32416,22688,22960,25629,880,1143
26/12/2019,140338,158928,34159,42093,30735,23385,26138,1247,1150
27/12/2019,151662,158229,33691,16628,41213,29963,33908,1483,1323
28/12/2019,160112,169022,34146,27829,37331,30644,36607,1156,1288
29/12/2019,155445,179177,34185,51065,33457,25437,32938,804,1278
30/12/2019,166644,183598,33952,42000,42785,25948,35469,1995,1415
31/12/2019,163526,165240,34024,33544,33905,25268,35317,1729,1421
01/01/2020,141710,159816,34204,46493,29033,25544,20939,2220,1385
02/01/2020,147237,155605,34209,14575,47375,34708,21100,2219,1392
